id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0055,0.403197,36.940488,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 2851061243, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",lerroghi_kirisia_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0056,0.538453,35.310728,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 3032164400, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",cherangani_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0057,-0.382000,37.156000,Prunus africana,Muiri,African cherry,"GBIF occurrence 5110068445, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0058,-0.028000,34.417000,Prunus africana,Muiri,African cherry,"GBIF occurrence 5110451414, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_elgon,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0059,-0.902755,36.449014,Prunus africana,Muiri,African cherry,"GBIF occurrence 4127361865, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0060,-0.174700,37.463300,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397825812, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0061,-0.174700,37.463300,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397825949, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0062,-0.531100,37.450600,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397826238, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0063,-0.174700,37.463300,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397826255, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0064,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397826616, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0065,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397828056, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0066,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397827355, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0067,-0.783900,37.040000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397827672, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0068,-0.783900,37.040000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397827830, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0069,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397827951, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0070,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397828605, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0071,-0.437100,36.958000,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397829369, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0072,-0.180000,37.360000,Prunus africana,Muiri,African cherry,"GBIF occurrence 3349973223, dataset d8cd16ba-bb74-4420-821e-083f2bac17c2",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
